Nazwisko_aktualne,Liczba
BROŻEK,2475
ĆWIK,2475
ŁAWNICZAK,2475
PÓŁTORAK,2475
KLIMAS,2472
BARTNICKI,2470
KRASKA,2466
KWAŚNY,2464
WNĘK,2464
KOMAR,2463
KOZERA,2459
GAŁECKI,2455
KOŁODZIEJCZAK,2454
KULIKOWSKI,2453
MIREK,2453
BERNACKI,2451
BOROŃ,2446
GAJ,2444
KOCHANOWSKI,2442
KOZICKI,2441
MŁYNARSKI,2441
KREFT,2439
NADOLSKI,2438
NALEPA,2437
STOPA,2434
RYBA,2432
BIEŃ,2431
SITKO,2429
SMYK,2429
ANTONIAK,2426
SZADKOWSKI,2426
SZWEDA,2426
WINNICKI,2424
GALIŃSKI,2421
SOBOŃ,2420
ĆWIKLIŃSKI,2418
KOSTRZEWSKI,2418
TABOR,2418
KĄKOL,2416
SPYCHAŁA,2412
CZAPLIŃSKI,2411
PRZYBYSZEWSKI,2408
SZCZEPANEK,2408
CZUBA,2407
SKORUPSKI,2395
PORĘBA,2394
WYDRA,2394
FILIPCZAK,2389
SZAFRAN,2387
BŁAŻEJEWSKI,2384
BARTOSIEWICZ,2383
FIGIEL,2383
NIEZGODA,2379
BŁASZKIEWICZ,2371
WĘGLARZ,2371
KLUSKA,2370
PASTUSZKA,2368
TURSKI,2367
FLAK,2366
GLIŃSKI,2366
SINGH,2366
JANECZEK,2364
PAJOR,2364
BARTKOWSKI,2363
TYMIŃSKI,2363
GAJEK,2359
NOSAL,2359
POLISHCHUK,2357
BUDA,2355
WALAS,2352
PIETRZYKOWSKI,2351
KLIMASZEWSKI,2349
WISZNIEWSKI,2348
SARNOWSKI,2347
DOBRZAŃSKI,2345
MACHNIK,2345
KRÓLIK,2340
MORAWIEC,2337
ŚLIWKA,2335
WCISŁO,2335
BUDNY,2333
ŁUGOWSKI,2324
GUZ,2323
RYCHLIK,2323
GALAS,2320
SOBOCIŃSKI,2320
ZASADA,2318
ŚWIERCZ,2316
GIZA,2314
IWANOWSKI,2314
KRAUSE,2312
RYBIŃSKI,2311
ZAWIŚLAK,2309
ŁAKOMY,2304
SŁOMIŃSKI,2300
SEWERYN,2299
GOŁASZEWSKI,2298
MIKUŁA,2296
KAZIMIERCZAK,2295
RUMIŃSKI,2294
WIERZCHOWSKI,2294
CHOJECKI,2293
CZAPIEWSKI,2292
RYBACKI,2292
BRYŁA,2291
MIZERA,2289
FURTAK,2287
IWANICKI,2286
KALITA,2285
WILCZEWSKI,2283
ZIOMEK,2282
MARCINKIEWICZ,2281
MUSIOŁ,2276
KLONOWSKI,2275
MARCZEWSKI,2275
TUSZYŃSKI,2275
KASPERSKI,2274
GOLONKA,2273
SZCZOTKA,2273
GAŁUSZKA,2272
SZOSTEK,2270
SŁOMKA,2269
MAKAREWICZ,2268
NGUYỄN,2266
MISZCZAK,2264
JACKIEWICZ,2262
ROKITA,2260
MATCZAK,2259
BOJANOWSKI,2257
PIEŃKOWSKI,2257
OLENDER,2256
TRUSZKOWSKI,2256
KALBARCZYK,2254
RADZIKOWSKI,2253
SZUBERT,2253
JOŃCZYK,2249
PODSIADŁO,2249
GÓRALSKI,2242
BONDAR,2240
KŁOSIŃSKI,2238
BOROWIAK,2237
WASZAK,2236
DANIEL,2235
DUSZA,2235
PIEKARZ,2235
TOPOLSKI,2235
KORNACKI,2234
RĄCZKA,2233
TARASIUK,2233
KOŁACZ,2231
PILARCZYK,2230
BABIARZ,2229
GĄSKA,2225
WACHOWSKI,2225
BĄCZEK,2223
SOBCZYŃSKI,2222
CHYLIŃSKI,2218
IWAN,2213
LEWCZUK,2213
NAPIÓRKOWSKI,2213
STRZAŁKOWSKI,2212
KRZAK,2209
DOMAGALSKI,2208
RADWAŃSKI,2206
FRANKIEWICZ,2205
LUDWICZAK,2204
KOBYLIŃSKI,2203
NYCZ,2201
TROJAN,2201
KRASUSKI,2200
MACHOWSKI,2196
TARKA,2194
DAWIDOWSKI,2192
SITARZ,2189
ZIEMBA,2189
SUCHOCKI,2186
RAKOCZY,2184
WILIŃSKI,2184
MASTALERZ,2183
PIWOWAR,2180
MAŁOLEPSZY,2179
PISARSKI,2179
KLOC,2175
ANTKOWIAK,2170
MARKOWICZ,2168
GREGORCZYK,2167
DUL,2166
KIELAR,2166
DREWNIAK,2165
SZEWCZUK,2164
KOZIŃSKI,2163
RYDZEWSKI,2163
GWIAZDA,2161
MACIASZEK,2158
DWORAK,2156
KLEIN,2154
GĄDEK,2153
NEUMANN,2153
STAROŃ,2152
WOJDYŁA,2148
OSIECKI,2144
PATER,2143
TRZASKA,2139
CZUBAK,2136
JEŻ,2136
MALCZEWSKI,2136
BACZYŃSKI,2135
