Nazwisko_aktualne,Liczba
DUTKIEWICZ,2628
OLEŚ,2626
OSUCH,2625
SALA,2619
GOŁĄBEK,2617
KOCHANOWSKA,2617
TRACZYK,2610
PASZEK,2609
STĘPNIEWSKA,2608
WALCZYK,2608
BERNAT,2603
STENCEL,2599
KOZYRA,2598
BARTOSIEWICZ,2597
DOLATA,2596
BARON,2594
KOŁODZIEJCZAK,2594
GABRYŚ,2593
GRELA,2593
GRYGIEL,2592
PISKORZ,2592
BŁAŻEJEWSKA,2588
CICHOSZ,2588
PARADOWSKA,2588
MIECZKOWSKA,2587
BARTNICKA,2585
SUROWIEC,2585
KOLASIŃSKA,2584
ŁAWNICZAK,2584
MODRZEJEWSKA,2583
GRABSKA,2581
SZYMANIAK,2580
KEMPA,2578
MULARCZYK,2578
DOLIŃSKA,2577
WDOWIAK,2577
ZASADA,2573
ZAWISZA,2573
WIELGOSZ,2572
WINNICKA,2571
ADAMCZEWSKA,2569
SMOLAREK,2569
STACHOWSKA,2567
BROŻEK,2565
WACHOWIAK,2564
ZARĘBSKA,2560
ZAWISTOWSKA,2559
MROWIEC,2556
ĆWIKLIŃSKA,2554
ŚWITAŁA,2554
PLEWA,2551
PIĘTA,2550
BŁOŃSKA,2549
WĄSOWSKA,2547
BIEL,2546
PÓŁTORAK,2544
MYŚLIWIEC,2542
KULIKOWSKA,2540
KRASKA,2536
KOZERA,2534
OKOŃ,2534
GAJ,2531
NADOLSKA,2528
ANTONIAK,2527
GALIŃSKA,2521
LACHOWICZ,2519
GAZDA,2515
KOMAR,2515
RÓG,2515
SZADKOWSKA,2514
KOZICKA,2510
TYMIŃSKA,2507
KOŚCIELNIAK,2504
GAŁECKA,2501
MAJDA,2501
WALIGÓRA,2500
ŁOŚ,2497
OZGA,2496
JASKÓLSKA,2494
SZWEDA,2494
SKORUPSKA,2490
BOGDAN,2486
JEDYNAK,2483
KONIECZNY,2483
WŁOCH,2481
KRAUSE,2480
LEMAŃSKA,2478
BERNACKA,2475
KRAVCHUK,2475
SZCZEPANEK,2475
KAPICA,2474
FRANCZAK,2473
SARNOWSKA,2470
MORAWIEC,2469
KLIMAS,2468
SKWAREK,2468
KOSTRZEWSKA,2465
MUSIOŁ,2465
BOROŃ,2464
ZIMNA,2461
BUREK,2458
FIGIEL,2458
SOBOCIŃSKA,2456
SMYK,2453
ŁACH,2451
WILCZEWSKA,2451
NIEZGODA,2448
MIŚ,2444
MIREK,2442
FILIPCZAK,2438
KLIMASZEWSKA,2437
BARTKOWSKA,2434
PRZYBYSZEWSKA,2433
SZUBERT,2429
SŁOMIŃSKA,2427
RUMIŃSKA,2425
RYCHLIK,2424
SEWERYN,2422
RYBA,2418
PASTUSZKA,2417
NADOLNA,2416
DZIURA,2414
GLIŃSKA,2414
MAKAREWICZ,2413
DOBRZAŃSKA,2412
CZAPLIŃSKA,2410
NALEPA,2409
GAJEK,2407
GOŁASZEWSKA,2407
JANECZEK,2405
BIEŃ,2403
MŁYNARSKA,2403
BIAŁA,2400
TURSKA,2399
JACKIEWICZ,2397
OGÓREK,2397
ŁUGOWSKA,2396
TUSZYŃSKA,2393
BŁASZKIEWICZ,2388
WOLNY,2387
SZAFRAN,2386
TABOR,2386
WĘGLARZ,2386
NEUMANN,2385
KAZIMIERCZAK,2384
PIETRZYKOWSKA,2384
GALAS,2382
WISZNIEWSKA,2382
KASPERSKA,2381
GÓRALSKA,2379
KREFT,2379
PILARCZYK,2379
DANIEL,2378
DRĄG,2378
RYBACKA,2376
RYBIŃSKA,2373
SPYCHAŁA,2369
KRÓLIK,2368
ZIOMEK,2367
SOBCZYŃSKA,2364
KLEIN,2360
STOPA,2357
NOSAL,2353
CZUBA,2352
STRZAŁKOWSKA,2352
FURTAK,2351
MACHNIK,2351
FLAK,2350
MATCZAK,2349
WALAS,2348
IWANICKA,2344
SITKO,2344
WYDRA,2344
GAŁUSZKA,2340
MARCZEWSKA,2339
PODSIADŁO,2338
CIOŁEK,2336
MIKUŁA,2336
BOJANOWSKA,2335
SZOSTEK,2335
ZAWIŚLAK,2333
KĄKOL,2332
WACHOWSKA,2330
SŁOMKA,2329
FRANKIEWICZ,2327
KŁOSIŃSKA,2327
MARCINKIEWICZ,2327
RADZIKOWSKA,2324
KALITA,2323
KRASUSKA,2323
LEWCZUK,2323
ANTKOWIAK,2321
RADWAŃSKA,2321
PIWOWAR,2318
SOBOŃ,2318
TOPOLSKA,2318
WCISŁO,2317
CZAPIEWSKA,2314
CHOJECKA,2311
KOBYLIŃSKA,2311
PIEŃKOWSKA,2310
ĆWIK,2309
NYCZ,2308
TARASIUK,2307
WNĘK,2306
ŚWIERCZ,2305
PORĘBA,2303
LUDWICZAK,2300
WILIŃSKA,2300
MACHOWSKA,2298
GUZ,2297
KULAS,2297
PAJOR,2297
ROKITA,2296
IWANOWSKA,2294
GIZA,2293
KOŁACZ,2290
KALBARCZYK,2287
OLENDER,2284
ŚLIWKA,2282
GROBELNA,2272
KLONOWSKA,2272
KORNACKA,2271
MARKOWICZ,2271
NAPIÓRKOWSKA,2271
BUDA,2270
DUSZA,2270
BOROWIAK,2266
JOŃCZYK,2264
ZATORSKA,2264
RĄCZKA,2260
GREGORCZYK,2254
PATER,2251
RYDZEWSKA,2250
WASZAK,2250
MIZERA,2249
KLUSKA,2247
MISZCZAK,2246
BACZYŃSKA,2245
BRYŁA,2245
CHYLIŃSKA,2241
GWIAZDA,2234
IWAN,2233
MASTALERZ,2233
SZEWCZUK,2232
WIERZCHOWSKA,2230
NGUYEN,2228
PIEKARZ,2226
KIELAR,2224
SITARZ,2220
SUCHOCKA,2218
GĄSKA,2216
OSIECKA,2213
PISARSKA,2211
SOROKA,2210
TRUSZKOWSKA,2207
ANTONIUK,2202
OSTASZEWSKA,2202
DOMAGALSKA,2201
KONDRACKA,2200
MOTYL,2200
WOJDYŁA,2198
CHOWANIEC,2192
CZUBAK,2192
KOZIŃSKA,2192
ZALESKA,2192
SZAFRANIEC,2191
JAKUBCZAK,2190
RAKOCZY,2189
DĘBICKA,2188
DREWNIAK,2188
DUDKIEWICZ,2188
DWORAK,2187
DAWIDOWSKA,2184
MOSKWA,2184
TARKA,2184
STAROŃ,2181
CZERWONKA,2179
SAKOWSKA,2179
MACIASZEK,2178
ZIEMBA,2178
